clause_name,issue,alt_text,standard
Preamble,Customer doesn’t understand how they can purchase in different regions when other SFDC affiliates are not contracting parties to the MSA.,"Customer Full Legal Name:Customer Address:This Master Subscription Agreement is between salesforce.com, inc., a Delaware corporation with its principal place of business at Salesforce Tower, 415 Mission Street, 3rd Floor, San Francisco, California 94105 (“SFDC”), and its applicable Affiliates identified on an Order Form. This Agreement is effective as of the last date beneath the parties’ signatures below (the “Effective Date”). The parties agree as follows:"," Customer Full Legal Name: [COUNTERPARTY] Customer Address:    This Master Subscription Agreement is between salesforce.com, inc., a Delaware corporation with its principal place of business at Salesforce Tower, 415 Mission Street, 3rd Floor, San Francisco, California 94105 (&ldquo;SFDC&rdquo;) and the customer named above. This Agreement is effective as of the last date beneath the parties&rsquo; signatures below (the &ldquo;Effective Date&rdquo;). The parties agree as follows:"
Preamble,Customer wants its contracting party to be a division or other business unit,"Customer Full Legal Name:  [Customer full legal name], with reference to its _______________ [division/department/business unit]Customer Address:This Master Subscription Agreement is between salesforce.com, inc., a Delaware corporation with its principal place of business at Salesforce Tower, 415 Mission Street, 3rd Floor, San Francisco, California 94105 (“SFDC”) and the customer named above. This Agreement is effective as of the last date beneath the parties’ signatures below (the “Effective Date”). The parties agree as follows:"," Customer Full Legal Name: [COUNTERPARTY] Customer Address:    This Master Subscription Agreement is between salesforce.com, inc., a Delaware corporation with its principal place of business at Salesforce Tower, 415 Mission Street, 3rd Floor, San Francisco, California 94105 (&ldquo;SFDC&rdquo;) and the customer named above. This Agreement is effective as of the last date beneath the parties&rsquo; signatures below (the &ldquo;Effective Date&rdquo;). The parties agree as follows:"
Preamble,"Only several liability among affiliates, no joint liability, i.e., no customer affiliate will be liable for actions/omissions/breaches of another","Customer Full Legal Name:Customer Address:This Master Subscription Agreement is between salesforce.com, inc., a Delaware corporation with its principal place of business at Salesforce Tower, 415 Mission Street, 3rd Floor, San Francisco, California 94105 (“SFDC”) and the customer named above. This Agreement is effective as of the last date beneath the parties’ signatures below (the “Effective Date”). Each Customer Affiliate executing an Order Form hereunder will be solely liable for obligations incurred by it under this Agreement in connection with such Order Form, and no other Customer Affiliate will be liable for such obligations; provided, however, that if Services purchased by multiple Customer Affiliates use the same logically separated instance of a given Service (each instance an “Org”), any suspension of any such Services as permitted under this Agreement will result in the suspension of Services for the entire Org, and any such suspension or termination shall not be a breach of this clause.The parties agree as follows:"," Customer Full Legal Name: [COUNTERPARTY] Customer Address:    This Master Subscription Agreement is between salesforce.com, inc., a Delaware corporation with its principal place of business at Salesforce Tower, 415 Mission Street, 3rd Floor, San Francisco, California 94105 (&ldquo;SFDC&rdquo;) and the customer named above. This Agreement is effective as of the last date beneath the parties&rsquo; signatures below (the &ldquo;Effective Date&rdquo;). The parties agree as follows:"
Preamble,Make “Effective Date” coincide with future subscription start date.,"Customer Full Legal Name:Customer Address:This Master Subscription Agreement is between salesforce.com, inc., a Delaware corporation with its principal place of business at Salesforce Tower, 415 Mission Street, 3rd Floor, San Francisco, California 94105 (“SFDC”) and the customer named above. This Agreement shall become effective on _______________ (the “Effective Date”)."," Customer Full Legal Name: [COUNTERPARTY] Customer Address:    This Master Subscription Agreement is between salesforce.com, inc., a Delaware corporation with its principal place of business at Salesforce Tower, 415 Mission Street, 3rd Floor, San Francisco, California 94105 (&ldquo;SFDC&rdquo;) and the customer named above. This Agreement is effective as of the last date beneath the parties&rsquo; signatures below (the &ldquo;Effective Date&rdquo;). The parties agree as follows:"
“Documentation”,Attach documentation as and exhibit,"means the applicable Service’s Trust and Compliance documentation, and its usage guides and policies, as updated from time to time, accessible via help.salesforce.com or login to the applicable Service. The Documentation version in effect for the [Salesforce, Marketing Cloud…] Services as of the Effective Date of this Agreement is hereby incorporated into this Agreement by reference.","means the applicable Service’s Trust and Compliance documentation, and its usage guides and policies, as updated from time to time, accessible via help.salesforce.com or login to the applicable Service."
Provision of Services,Add detailed description of support; Option 1: Standard Success Plan by reference ,"SFDC will (a) make the Services and Content available to Customer pursuant to this Agreement and the applicable Order Forms and Documentation, (b) provide the Standard Success Plan to Customer's applicable Users for the applicable Services, at no additional charge, in accordance with the descriptions at https://www.salesforce.com/company/legal/agreements. (c) use commercially reasonable efforts to make the online Services available 24 hours a day, 7 days a week, except for: (i) planned downtime (of which SFDC shall give advance electronic notice), and (ii) any unavailability caused by circumstances beyond SFDC’s reasonable control, including, for example, an act of God, act of government, flood, fire, earthquake, civil unrest, act of terror, strike or other labor problem (other than one involving SFDC employees), Internet service provider failure or delay, Non-SFDC Application, or denial of service attack, and (d) provide the Services in accordance with laws and government regulations applicable to SFDC’s provision of its Services to its customers generally (i.e., without regard for Customer’s particular use of the Services), and subject to Customer’s use of the Services in accordance with this Agreement, the Documentation and the applicable Order Form.","SFDC will (a) make the Services and Content available to Customer pursuant to this Agreement, and the applicable Order Forms and Documentation, (b) provide applicable SFDC standard support for the Services to Customer at no additional charge, and/or upgraded support if purchased, (c) use commercially reasonable efforts to make the online Services available 24 hours a day, 7 days a week, except for: (i) planned downtime (of which SFDC shall give advance electronic notice), and (ii) any unavailability caused by circumstances beyond SFDC’s reasonable control, including, for example, an act of God, act of government, flood, fire, earthquake, civil unrest, act of terror, strike or other labor problem (other than one involving SFDC employees), Internet service provider failure or delay, Non-SFDC Application, or denial of service attack, and (d) provide the Services in accordance with laws and government regulations applicable to SFDC’s provision of its Services to its customers generally (i.e., without regard for Customer’s particular use of the Services), and subject to Customer’s use of the Services in accordance with this Agreement, the Documentation and the applicable Order Form. "
Provision of Services,Add detailed description of support; Option 2:  Premier and Premier+ Success  Plan by reference,"SFDC will (a) make the Services and Content available to Customer pursuant to this Agreement and the applicable Order Forms and Documentation, (b) provide the Premier or Premier+ Success Plan to Customer's applicable Users, if purchased and during an applicable subscription term, in accordance with the description at https://www.salesforce.com/company/legal/agreements/. (c) use commercially reasonable efforts to make the online Services available 24 hours a day, 7 days a week, except for: (i) planned downtime (of which SFDC shall give advance electronic notice), and (ii) any unavailability caused by circumstances beyond SFDC’s reasonable control, including, for example, an act of God, act of government, flood, fire, earthquake, civil unrest, act of terror, strike or other labor problem (other than one involving SFDC employees), Internet service provider failure or delay, Non-SFDC Application, or denial of service attack, and (d) provide the Services in accordance with laws and government regulations applicable to SFDC’s provision of its Services to its customers generally (i.e., without regard for Customer’s particular use of the Services), and subject to Customer’s use of the Services in accordance with this Agreement, the Documentation and the applicable Order Form","SFDC will (a) make the Services and Content available to Customer pursuant to this Agreement, and the applicable Order Forms and Documentation, (b) provide applicable SFDC standard support for the Services to Customer at no additional charge, and/or upgraded support if purchased, (c) use commercially reasonable efforts to make the online Services available 24 hours a day, 7 days a week, except for: (i) planned downtime (of which SFDC shall give advance electronic notice), and (ii) any unavailability caused by circumstances beyond SFDC’s reasonable control, including, for example, an act of God, act of government, flood, fire, earthquake, civil unrest, act of terror, strike or other labor problem (other than one involving SFDC employees), Internet service provider failure or delay, Non-SFDC Application, or denial of service attack, and (d) provide the Services in accordance with laws and government regulations applicable to SFDC’s provision of its Services to its customers generally (i.e., without regard for Customer’s particular use of the Services), and subject to Customer’s use of the Services in accordance with this Agreement, the Documentation and the applicable Order Form. "
Provision of Services,Add detailed description of support; Option 1 : Standard Success Plan by Exhibit ,"SFDC will (a) make the Services and Content available to Customer pursuant to this Agreement and the applicable Order Forms and Documentation, (b) provide the Standard Success Plan to Customer's applicable Users for the applicable Services, at no additional charge, in accordance with Exhibit[ ]. (c) use commercially reasonable efforts to make the online Services available 24 hours a day, 7 days a week, except for: (i) planned downtime (of which SFDC shall give advance electronic notice), and (ii) any unavailability caused by circumstances beyond SFDC’s reasonable control, including, for example, an act of God, act of government, flood, fire, earthquake, civil unrest, act of terror, strike or other labor problem (other than one involving SFDC employees), Internet service provider failure or delay, Non-SFDC Application, or denial of service attack, and (d) provide the Services in accordance with laws and government regulations applicable to SFDC’s provision of its Services to its customers generally (i.e., without regard for Customer’s particular use of the Services), and subject to Customer’s use of the Services in accordance with this Agreement, the Documentation and the applicable Order Form.","SFDC will (a) make the Services and Content available to Customer pursuant to this Agreement, and the applicable Order Forms and Documentation, (b) provide applicable SFDC standard support for the Services to Customer at no additional charge, and/or upgraded support if purchased, (c) use commercially reasonable efforts to make the online Services available 24 hours a day, 7 days a week, except for: (i) planned downtime (of which SFDC shall give advance electronic notice), and (ii) any unavailability caused by circumstances beyond SFDC’s reasonable control, including, for example, an act of God, act of government, flood, fire, earthquake, civil unrest, act of terror, strike or other labor problem (other than one involving SFDC employees), Internet service provider failure or delay, Non-SFDC Application, or denial of service attack, and (d) provide the Services in accordance with laws and government regulations applicable to SFDC’s provision of its Services to its customers generally (i.e., without regard for Customer’s particular use of the Services), and subject to Customer’s use of the Services in accordance with this Agreement, the Documentation and the applicable Order Form. "
Provision of Services,Add detailed description of support; Option 2: Premier or Premier+ Success Plan by Exhibit,"SFDC will (a) make the Services and Content available to Customer pursuant to this Agreement and the applicable Order Forms and Documentation, (b) provide the Premier or Premier+ Success Plan to Customer's applicable Users, if purchased and during an applicable subscription term, in accordance with Exhibit[ ], (c) use commercially reasonable efforts to make the online Services available 24 hours a day, 7 days a week, except for: (i) planned downtime (of which SFDC shall give advance electronic notice), and (ii) any unavailability caused by circumstances beyond SFDC’s reasonable control, including, for example, an act of God, act of government, flood, fire, earthquake, civil unrest, act of terror, strike or other labor problem (other than one involving SFDC employees), Internet service provider failure or delay, Non-SFDC Application, or denial of service attack, and (d) provide the Services in accordance with laws and government regulations applicable to SFDC’s provision of its Services to its customers generally (i.e., without regard for Customer’s particular use of the Services), and subject to Customer’s use of the Services in accordance with this Agreement, the Documentation and the applicable Order Form.","SFDC will (a) make the Services and Content available to Customer pursuant to this Agreement, and the applicable Order Forms and Documentation, (b) provide applicable SFDC standard support for the Services to Customer at no additional charge, and/or upgraded support if purchased, (c) use commercially reasonable efforts to make the online Services available 24 hours a day, 7 days a week, except for: (i) planned downtime (of which SFDC shall give advance electronic notice), and (ii) any unavailability caused by circumstances beyond SFDC’s reasonable control, including, for example, an act of God, act of government, flood, fire, earthquake, civil unrest, act of terror, strike or other labor problem (other than one involving SFDC employees), Internet service provider failure or delay, Non-SFDC Application, or denial of service attack, and (d) provide the Services in accordance with laws and government regulations applicable to SFDC’s provision of its Services to its customers generally (i.e., without regard for Customer’s particular use of the Services), and subject to Customer’s use of the Services in accordance with this Agreement, the Documentation and the applicable Order Form. "
Provision of Services,Add detailed description of support; Option 3: Signature or Mission Critical Success Plans by reference ,"SFDC will (a) make the Services and Content available to Customer pursuant to this Agreement and the applicable Order Forms and Documentation, (b) provide the Signature [or Mission Critical] Success to Customer's applicable Users, if purchased and during an applicable subscription term, in accordance with the description at https://www.salesforce.com/company/legal/agreements, (c) use commercially reasonable efforts to make the online Services available 24 hours a day, 7 days a week, except for: (i) planned downtime (of which SFDC shall give advance electronic notice), and (ii) any unavailability caused by circumstances beyond SFDC’s reasonable control, including, for example, an act of God, act of government, flood, fire, earthquake, civil unrest, act of terror, strike or other labor problem (other than one involving SFDC employees), Internet service provider failure or delay, Non-SFDC Application, or denial of service attack, and (d) provide the Services in accordance with laws and government regulations applicable to SFDC’s provision of its Services to its customers generally (i.e., without regard for Customer’s particular use of the Services), and subject to Customer’s use of the Services in accordance with this Agreement, the Documentation and the applicable Order Form.","SFDC will (a) make the Services and Content available to Customer pursuant to this Agreement, and the applicable Order Forms and Documentation, (b) provide applicable SFDC standard support for the Services to Customer at no additional charge, and/or upgraded support if purchased, (c) use commercially reasonable efforts to make the online Services available 24 hours a day, 7 days a week, except for: (i) planned downtime (of which SFDC shall give advance electronic notice), and (ii) any unavailability caused by circumstances beyond SFDC’s reasonable control, including, for example, an act of God, act of government, flood, fire, earthquake, civil unrest, act of terror, strike or other labor problem (other than one involving SFDC employees), Internet service provider failure or delay, Non-SFDC Application, or denial of service attack, and (d) provide the Services in accordance with laws and government regulations applicable to SFDC’s provision of its Services to its customers generally (i.e., without regard for Customer’s particular use of the Services), and subject to Customer’s use of the Services in accordance with this Agreement, the Documentation and the applicable Order Form. "
